County,Year,Month,Date,Registrations,Total_Registrations
Roscommon,2020,Jan,2020-01-01,5,44
Roscommon,2020,Feb,2020-02-01,2,46
Roscommon,2020,Mar,2020-03-01,3,49
Roscommon,2020,Apr,2020-04-01,0,49
Roscommon,2020,May,2020-05-01,1,50
Roscommon,2020,Jun,2020-06-01,0,50
Roscommon,2020,Jul,2020-07-01,4,54
Roscommon,2020,Aug,2020-08-01,7,61
Roscommon,2020,Sep,2020-09-01,3,64
Roscommon,2020,Oct,2020-10-01,1,65
Roscommon,2020,Nov,2020-11-01,0,65
Roscommon,2020,Dec,2020-12-01,0,65
Roscommon,2021,Jan,2021-01-01,5,70
Roscommon,2021,Feb,2021-02-01,2,72
Roscommon,2021,Mar,2021-03-01,3,75
Roscommon,2021,Apr,2021-04-01,0,75
Roscommon,2021,May,2021-05-01,1,76
Roscommon,2021,Jun,2021-06-01,0,76
Roscommon,2021,Jul,2021-07-01,4,80
Roscommon,2021,Aug,2021-08-01,7,87
Roscommon,2021,Sep,2021-09-01,3,90
Roscommon,2021,Oct,2021-10-01,1,91
Roscommon,2021,Nov,2021-11-01,0,91
Roscommon,2021,Dec,2021-12-01,0,91
Roscommon,2022,Jan,2022-01-01,21,112
Roscommon,2022,Feb,2022-02-01,10,122
Roscommon,2022,Mar,2022-03-01,21,143
Roscommon,2022,Apr,2022-04-01,9,152
Roscommon,2022,May,2022-05-01,5,157
Roscommon,2022,Jun,2022-06-01,1,158
Roscommon,2022,Jul,2022-07-01,30,188
Roscommon,2022,Aug,2022-08-01,15,203
Roscommon,2022,Sep,2022-09-01,8,211
Roscommon,2022,Oct,2022-10-01,11,222
Roscommon,2022,Nov,2022-11-01,3,225
Roscommon,2022,Dec,2022-12-01,0,225
Roscommon,2023,Jan,2023-01-01,30,255
Roscommon,2023,Feb,2023-02-01,20,275
Roscommon,2023,Mar,2023-03-01,32,307
Roscommon,2023,Apr,2023-04-01,14,321
Roscommon,2023,May,2023-05-01,14,335
Roscommon,2023,Jun,2023-06-01,9,344
Roscommon,2023,Jul,2023-07-01,25,369
Roscommon,2023,Aug,2023-08-01,9,378
Roscommon,2023,Sep,2023-09-01,7,385
Roscommon,2023,Oct,2023-10-01,4,389
Roscommon,2023,Nov,2023-11-01,1,390
Roscommon,2023,Dec,2023-12-01,0,390
Roscommon,2024,Jan,2024-01-01,37,427
Roscommon,2024,Feb,2024-02-01,10,437
Roscommon,2024,Mar,2024-03-01,20,457
Roscommon,2024,Apr,2024-04-01,12,469
Roscommon,2024,May,2024-05-01,8,477
Roscommon,2024,Jun,2024-06-01,5,482
Roscommon,2024,Jul,2024-07-01,32,514
Roscommon,2024,Aug,2024-08-01,,
Roscommon,2024,Sep,2024-09-01,,
Roscommon,2024,Oct,2024-10-01,,
Roscommon,2024,Nov,2024-11-01,,
Roscommon,2024,Dec,2024-12-01,,
Galway,2014,Jan,2014-01-01,2,2
Galway,2014,Feb,2014-02-01,1,3
Galway,2014,Mar,2014-03-01,0,3
Galway,2014,Apr,2014-04-01,1,4
Galway,2014,May,2014-05-01,0,4
Galway,2014,Jun,2014-06-01,1,5
Galway,2014,Jul,2014-07-01,3,8
Galway,2014,Aug,2014-08-01,1,9
Galway,2014,Sep,2014-09-01,0,9
Galway,2014,Oct,2014-10-01,0,9
Galway,2014,Nov,2014-11-01,0,9
Galway,2014,Dec,2014-12-01,0,9
Galway,2015,Jan,2015-01-01,7,16
Galway,2015,Feb,2015-02-01,2,18
Galway,2015,Mar,2015-03-01,3,21
Galway,2015,Apr,2015-04-01,2,23
Galway,2015,May,2015-05-01,1,24
Galway,2015,Jun,2015-06-01,0,24
Galway,2015,Jul,2015-07-01,6,30
Galway,2015,Aug,2015-08-01,1,31
Galway,2015,Sep,2015-09-01,2,33
Galway,2015,Oct,2015-10-01,0,33
Galway,2015,Nov,2015-11-01,0,33
Galway,2015,Dec,2015-12-01,0,33
Galway,2016,Jan,2016-01-01,1,34
Galway,2016,Feb,2016-02-01,8,42
Galway,2016,Mar,2016-03-01,6,48
Galway,2016,Apr,2016-04-01,2,50
Galway,2016,May,2016-05-01,0,50
