County,Year,Month,Date,Registrations,Total_Registrations
Leitrim,2020,May,2020-05-01,1,29
Leitrim,2020,Jun,2020-06-01,0,29
Leitrim,2020,Jul,2020-07-01,1,30
Leitrim,2020,Aug,2020-08-01,1,31
Leitrim,2020,Sep,2020-09-01,3,34
Leitrim,2020,Oct,2020-10-01,2,36
Leitrim,2020,Nov,2020-11-01,0,36
Leitrim,2020,Dec,2020-12-01,0,36
Leitrim,2021,Jan,2021-01-01,4,40
Leitrim,2021,Feb,2021-02-01,0,40
Leitrim,2021,Mar,2021-03-01,6,46
Leitrim,2021,Apr,2021-04-01,0,46
Leitrim,2021,May,2021-05-01,3,49
Leitrim,2021,Jun,2021-06-01,0,49
Leitrim,2021,Jul,2021-07-01,6,55
Leitrim,2021,Aug,2021-08-01,3,58
Leitrim,2021,Sep,2021-09-01,2,60
Leitrim,2021,Oct,2021-10-01,2,62
Leitrim,2021,Nov,2021-11-01,0,62
Leitrim,2021,Dec,2021-12-01,2,64
Leitrim,2022,Jan,2022-01-01,10,74
Leitrim,2022,Feb,2022-02-01,4,78
Leitrim,2022,Mar,2022-03-01,11,89
Leitrim,2022,Apr,2022-04-01,8,97
Leitrim,2022,May,2022-05-01,3,100
Leitrim,2022,Jun,2022-06-01,0,100
Leitrim,2022,Jul,2022-07-01,12,112
Leitrim,2022,Aug,2022-08-01,1,113
Leitrim,2022,Sep,2022-09-01,9,122
Leitrim,2022,Oct,2022-10-01,0,122
Leitrim,2022,Nov,2022-11-01,2,124
Leitrim,2022,Dec,2022-12-01,0,124
Leitrim,2023,Jan,2023-01-01,12,136
Leitrim,2023,Feb,2023-02-01,13,149
Leitrim,2023,Mar,2023-03-01,13,162
Leitrim,2023,Apr,2023-04-01,7,169
Leitrim,2023,May,2023-05-01,3,172
Leitrim,2023,Jun,2023-06-01,4,176
Leitrim,2023,Jul,2023-07-01,14,190
Leitrim,2023,Aug,2023-08-01,11,201
Leitrim,2023,Sep,2023-09-01,1,202
Leitrim,2023,Oct,2023-10-01,1,203
Leitrim,2023,Nov,2023-11-01,0,203
Leitrim,2023,Dec,2023-12-01,1,204
Leitrim,2024,Jan,2024-01-01,13,217
Leitrim,2024,Feb,2024-02-01,9,226
Leitrim,2024,Mar,2024-03-01,6,232
Leitrim,2024,Apr,2024-04-01,3,235
Leitrim,2024,May,2024-05-01,3,238
Leitrim,2024,Jun,2024-06-01,0,238
Leitrim,2024,Jul,2024-07-01,10,248
Leitrim,2024,Aug,2024-08-01,,
Leitrim,2024,Sep,2024-09-01,,
Leitrim,2024,Oct,2024-10-01,,
Leitrim,2024,Nov,2024-11-01,,
Leitrim,2024,Dec,2024-12-01,,
Wexford,2014,Jan,2014-01-01,2,2
Wexford,2014,Feb,2014-02-01,2,4
Wexford,2014,Mar,2014-03-01,0,4
Wexford,2014,Apr,2014-04-01,1,5
Wexford,2014,May,2014-05-01,0,5
Wexford,2014,Jun,2014-06-01,1,6
Wexford,2014,Jul,2014-07-01,2,8
Wexford,2014,Aug,2014-08-01,1,9
Wexford,2014,Sep,2014-09-01,0,9
Wexford,2014,Oct,2014-10-01,0,9
Wexford,2014,Nov,2014-11-01,0,9
Wexford,2014,Dec,2014-12-01,0,9
Wexford,2015,Jan,2015-01-01,6,15
Wexford,2015,Feb,2015-02-01,3,18
Wexford,2015,Mar,2015-03-01,1,19
Wexford,2015,Apr,2015-04-01,0,19
Wexford,2015,May,2015-05-01,2,21
Wexford,2015,Jun,2015-06-01,0,21
Wexford,2015,Jul,2015-07-01,3,24
Wexford,2015,Aug,2015-08-01,2,26
Wexford,2015,Sep,2015-09-01,0,26
Wexford,2015,Oct,2015-10-01,0,26
Wexford,2015,Nov,2015-11-01,0,26
Wexford,2015,Dec,2015-12-01,0,26
Wexford,2016,Jan,2016-01-01,6,32
Wexford,2016,Feb,2016-02-01,2,34
Wexford,2016,Mar,2016-03-01,3,37
Wexford,2016,Apr,2016-04-01,0,37
Wexford,2016,May,2016-05-01,0,37
Wexford,2016,Jun,2016-06-01,0,37
Wexford,2016,Jul,2016-07-01,2,39
Wexford,2016,Aug,2016-08-01,0,39
Wexford,2016,Sep,2016-09-01,1,40
Wexford,2016,Oct,2016-10-01,0,40
Wexford,2016,Nov,2016-11-01,0,40
Wexford,2016,Dec,2016-12-01,0,40
Wexford,2017,Jan,2017-01-01,7,47
Wexford,2017,Feb,2017-02-01,2,49
Wexford,2017,Mar,2017-03-01,2,51
Wexford,2017,Apr,2017-04-01,2,53
Wexford,2017,May,2017-05-01,3,56
Wexford,2017,Jun,2017-06-01,0,56
Wexford,2017,Jul,2017-07-01,6,62
Wexford,2017,Aug,2017-08-01,1,63
Wexford,2017,Sep,2017-09-01,0,63
Wexford,2017,Oct,2017-10-01,2,65
Wexford,2017,Nov,2017-11-01,1,66
Wexford,2017,Dec,2017-12-01,0,66
Wexford,2018,Jan,2018-01-01,4,70
Wexford,2018,Feb,2018-02-01,1,71
Wexford,2018,Mar,2018-03-01,4,75
Wexford,2018,Apr,2018-04-01,11,86
Wexford,2018,May,2018-05-01,2,88
Wexford,2018,Jun,2018-06-01,0,88
Wexford,2018,Jul,2018-07-01,13,101
Wexford,2018,Aug,2018-08-01,3,104
Wexford,2018,Sep,2018-09-01,6,110
Wexford,2018,Oct,2018-10-01,2,112
Wexford,2018,Nov,2018-11-01,0,112
Wexford,2018,Dec,2018-12-01,0,112
Wexford,2019,Jan,2019-01-01,26,138
Wexford,2019,Feb,2019-02-01,8,146
Wexford,2019,Mar,2019-03-01,11,157
Wexford,2019,Apr,2019-04-01,7,164
Wexford,2019,May,2019-05-01,8,172
Wexford,2019,Jun,2019-06-01,1,173
Wexford,2019,Jul,2019-07-01,30,203
Wexford,2019,Aug,2019-08-01,5,208
Wexford,2019,Sep,2019-09-01,2,210
Wexford,2019,Oct,2019-10-01,6,216
Wexford,2019,Nov,2019-11-01,5,221
Wexford,2019,Dec,2019-12-01,1,222
Wexford,2020,Jan,2020-01-01,36,258
Wexford,2020,Feb,2020-02-01,16,274
Wexford,2020,Mar,2020-03-01,18,292
Wexford,2020,Apr,2020-04-01,4,296
Wexford,2020,May,2020-05-01,1,297
Wexford,2020,Jun,2020-06-01,2,299
Wexford,2020,Jul,2020-07-01,27,326
Wexford,2020,Aug,2020-08-01,10,336
Wexford,2020,Sep,2020-09-01,17,353
Wexford,2020,Oct,2020-10-01,8,361
Wexford,2020,Nov,2020-11-01,3,364
Wexford,2020,Dec,2020-12-01,0,364
Wexford,2021,Jan,2021-01-01,61,425
Wexford,2021,Feb,2021-02-01,37,462
Wexford,2021,Mar,2021-03-01,49,511
Wexford,2021,Apr,2021-04-01,23,534
Wexford,2021,May,2021-05-01,22,556
Wexford,2021,Jun,2021-06-01,7,563
Wexford,2021,Jul,2021-07-01,94,657
Wexford,2021,Aug,2021-08-01,18,675
Wexford,2021,Sep,2021-09-01,23,698
Wexford,2021,Oct,2021-10-01,23,721
Wexford,2021,Nov,2021-11-01,6,727
Wexford,2021,Dec,2021-12-01,2,729
Wexford,2022,Jan,2022-01-01,97,826
Wexford,2022,Feb,2022-02-01,45,871
Wexford,2022,Mar,2022-03-01,80,951
Wexford,2022,Apr,2022-04-01,47,998
Wexford,2022,May,2022-05-01,16,1014
Wexford,2022,Jun,2022-06-01,5,1019
Wexford,2022,Jul,2022-07-01,97,1116
Wexford,2022,Aug,2022-08-01,41,1157
Wexford,2022,Sep,2022-09-01,59,1216
Wexford,2022,Oct,2022-10-01,20,1236
Wexford,2022,Nov,2022-11-01,5,1241
Wexford,2022,Dec,2022-12-01,0,1241
Wexford,2023,Jan,2023-01-01,136,1377
Wexford,2023,Feb,2023-02-01,86,1463
Wexford,2023,Mar,2023-03-01,108,1571
Wexford,2023,Apr,2023-04-01,37,1608
Wexford,2023,May,2023-05-01,53,1661
Wexford,2023,Jun,2023-06-01,23,1684
Wexford,2023,Jul,2023-07-01,127,1811
Wexford,2023,Aug,2023-08-01,68,1879
Wexford,2023,Sep,2023-09-01,27,1906
Wexford,2023,Oct,2023-10-01,12,1918
Wexford,2023,Nov,2023-11-01,4,1922
Wexford,2023,Dec,2023-12-01,0,1922
Wexford,2024,Jan,2024-01-01,171,2093
Wexford,2024,Feb,2024-02-01,71,2164
Wexford,2024,Mar,2024-03-01,65,2229
Wexford,2024,Apr,2024-04-01,48,2277
Wexford,2024,May,2024-05-01,31,2308
Wexford,2024,Jun,2024-06-01,7,2315
Wexford,2024,Jul,2024-07-01,117,2432
Wexford,2024,Aug,2024-08-01,,
Wexford,2024,Sep,2024-09-01,,
Wexford,2024,Oct,2024-10-01,,
Wexford,2024,Nov,2024-11-01,,
Wexford,2024,Dec,2024-12-01,,
Wicklow,2014,Jan,2014-01-01,3,3
Wicklow,2014,Feb,2014-02-01,1,4
Wicklow,2014,Mar,2014-03-01,3,7
Wicklow,2014,Apr,2014-04-01,1,8
Wicklow,2014,May,2014-05-01,1,9
Wicklow,2014,Jun,2014-06-01,0,9
Wicklow,2014,Jul,2014-07-01,3,12
Wicklow,2014,Aug,2014-08-01,3,15
Wicklow,2014,Sep,2014-09-01,2,17
Wicklow,2014,Oct,2014-10-01,0,17
Wicklow,2014,Nov,2014-11-01,1,18
Wicklow,2014,Dec,2014-12-01,0,18
Wicklow,2015,Jan,2015-01-01,5,23
Wicklow,2015,Feb,2015-02-01,3,26
Wicklow,2015,Mar,2015-03-01,7,33
Wicklow,2015,Apr,2015-04-01,1,34
Wicklow,2015,May,2015-05-01,2,36
Wicklow,2015,Jun,2015-06-01,0,36
Wicklow,2015,Jul,2015-07-01,2,38
Wicklow,2015,Aug,2015-08-01,5,43
Wicklow,2015,Sep,2015-09-01,2,45
Wicklow,2015,Oct,2015-10-01,0,45
Wicklow,2015,Nov,2015-11-01,0,45
Wicklow,2015,Dec,2015-12-01,0,45
Wicklow,2016,Jan,2016-01-01,4,49
Wicklow,2016,Feb,2016-02-01,10,59
Wicklow,2016,Mar,2016-03-01,5,64
Wicklow,2016,Apr,2016-04-01,1,65
Wicklow,2016,May,2016-05-01,0,65
Wicklow,2016,Jun,2016-06-01,0,65
Wicklow,2016,Jul,2016-07-01,6,71
Wicklow,2016,Aug,2016-08-01,1,72
Wicklow,2016,Sep,2016-09-01,2,74
Wicklow,2016,Oct,2016-10-01,1,75
Wicklow,2016,Nov,2016-11-01,0,75
Wicklow,2016,Dec,2016-12-01,0,75
Wicklow,2017,Jan,2017-01-01,9,84
Wicklow,2017,Feb,2017-02-01,5,89
Wicklow,2017,Mar,2017-03-01,5,94
Wicklow,2017,Apr,2017-04-01,6,100
Wicklow,2017,May,2017-05-01,0,100
Wicklow,2017,Jun,2017-06-01,1,101
Wicklow,2017,Jul,2017-07-01,9,110
Wicklow,2017,Aug,2017-08-01,4,114
Wicklow,2017,Sep,2017-09-01,3,117
Wicklow,2017,Oct,2017-10-01,4,121
Wicklow,2017,Nov,2017-11-01,1,122
Wicklow,2017,Dec,2017-12-01,0,122
Wicklow,2018,Jan,2018-01-01,6,128
Wicklow,2018,Feb,2018-02-01,12,140
Wicklow,2018,Mar,2018-03-01,6,146
Wicklow,2018,Apr,2018-04-01,10,156
Wicklow,2018,May,2018-05-01,3,159
Wicklow,2018,Jun,2018-06-01,0,159
Wicklow,2018,Jul,2018-07-01,30,189
Wicklow,2018,Aug,2018-08-01,6,195
Wicklow,2018,Sep,2018-09-01,3,198
Wicklow,2018,Oct,2018-10-01,3,201
Wicklow,2018,Nov,2018-11-01,0,201
Wicklow,2018,Dec,2018-12-01,0,201
Wicklow,2019,Jan,2019-01-01,40,241
Wicklow,2019,Feb,2019-02-01,17,258
Wicklow,2019,Mar,2019-03-01,16,274
Wicklow,2019,Apr,2019-04-01,14,288
Wicklow,2019,May,2019-05-01,11,299
Wicklow,2019,Jun,2019-06-01,1,300
Wicklow,2019,Jul,2019-07-01,47,347
Wicklow,2019,Aug,2019-08-01,12,359
Wicklow,2019,Sep,2019-09-01,6,365
Wicklow,2019,Oct,2019-10-01,9,374
Wicklow,2019,Nov,2019-11-01,12,386
Wicklow,2019,Dec,2019-12-01,2,388
Wicklow,2020,Jan,2020-01-01,42,430
Wicklow,2020,Feb,2020-02-01,21,451
Wicklow,2020,Mar,2020-03-01,21,472
Wicklow,2020,Apr,2020-04-01,0,472
Wicklow,2020,May,2020-05-01,10,482
Wicklow,2020,Jun,2020-06-01,1,483
Wicklow,2020,Jul,2020-07-01,65,548
Wicklow,2020,Aug,2020-08-01,21,569
Wicklow,2020,Sep,2020-09-01,38,607
Wicklow,2020,Oct,2020-10-01,16,623
Wicklow,2020,Nov,2020-11-01,8,631
Wicklow,2020,Dec,2020-12-01,0,631
Wicklow,2021,Jan,2021-01-01,69,700
Wicklow,2021,Feb,2021-02-01,43,743
Wicklow,2021,Mar,2021-03-01,59,802
Wicklow,2021,Apr,2021-04-01,39,841
Wicklow,2021,May,2021-05-01,28,869
Wicklow,2021,Jun,2021-06-01,20,889
Wicklow,2021,Jul,2021-07-01,124,1013
Wicklow,2021,Aug,2021-08-01,48,1061
Wicklow,2021,Sep,2021-09-01,60,1121
Wicklow,2021,Oct,2021-10-01,20,1141
Wicklow,2021,Nov,2021-11-01,12,1153
Wicklow,2021,Dec,2021-12-01,9,1162
Wicklow,2022,Jan,2022-01-01,158,1320
Wicklow,2022,Feb,2022-02-01,85,1405
Wicklow,2022,Mar,2022-03-01,83,1488
Wicklow,2022,Apr,2022-04-01,71,1559
Wicklow,2022,May,2022-05-01,39,1598
Wicklow,2022,Jun,2022-06-01,4,1602
Wicklow,2022,Jul,2022-07-01,159,1761
Wicklow,2022,Aug,2022-08-01,73,1834
Wicklow,2022,Sep,2022-09-01,98,1932
Wicklow,2022,Oct,2022-10-01,36,1968
Wicklow,2022,Nov,2022-11-01,14,1982
Wicklow,2022,Dec,2022-12-01,3,1985
Wicklow,2023,Jan,2023-01-01,177,2162
Wicklow,2023,Feb,2023-02-01,114,2276
Wicklow,2023,Mar,2023-03-01,159,2435
Wicklow,2023,Apr,2023-04-01,87,2522
Wicklow,2023,May,2023-05-01,74,2596
Wicklow,2023,Jun,2023-06-01,65,2661
Wicklow,2023,Jul,2023-07-01,208,2869
Wicklow,2023,Aug,2023-08-01,91,2960
Wicklow,2023,Sep,2023-09-01,60,3020
Wicklow,2023,Oct,2023-10-01,27,3047
Wicklow,2023,Nov,2023-11-01,20,3067
Wicklow,2023,Dec,2023-12-01,6,3073
Wicklow,2024,Jan,2024-01-01,211,3284
Wicklow,2024,Feb,2024-02-01,102,3386
Wicklow,2024,Mar,2024-03-01,98,3484
Wicklow,2024,Apr,2024-04-01,46,3530
Wicklow,2024,May,2024-05-01,45,3575
Wicklow,2024,Jun,2024-06-01,32,3607
Wicklow,2024,Jul,2024-07-01,166,3773
Wicklow,2024,Aug,2024-08-01,,
Wicklow,2024,Sep,2024-09-01,,
Wicklow,2024,Oct,2024-10-01,,
Wicklow,2024,Nov,2024-11-01,,
Wicklow,2024,Dec,2024-12-01,,
Westmeath,2014,Jan,2014-01-01,0,0
Westmeath,2014,Feb,2014-02-01,0,0
Westmeath,2014,Mar,2014-03-01,2,2
Westmeath,2014,Apr,2014-04-01,0,2
Westmeath,2014,May,2014-05-01,0,2
Westmeath,2014,Jun,2014-06-01,0,2
Westmeath,2014,Jul,2014-07-01,0,2
Westmeath,2014,Aug,2014-08-01,0,2
Westmeath,2014,Sep,2014-09-01,0,2
Westmeath,2014,Oct,2014-10-01,0,2
Westmeath,2014,Nov,2014-11-01,0,2
Westmeath,2014,Dec,2014-12-01,0,2
Westmeath,2015,Jan,2015-01-01,2,4
Westmeath,2015,Feb,2015-02-01,0,4
Westmeath,2015,Mar,2015-03-01,1,5
Westmeath,2015,Apr,2015-04-01,0,5
Westmeath,2015,May,2015-05-01,0,5
Westmeath,2015,Jun,2015-06-01,0,5
Westmeath,2015,Jul,2015-07-01,1,6
Westmeath,2015,Aug,2015-08-01,0,6
Westmeath,2015,Sep,2015-09-01,0,6
Westmeath,2015,Oct,2015-10-01,1,7
Westmeath,2015,Nov,2015-11-01,0,7
Westmeath,2015,Dec,2015-12-01,0,7
Westmeath,2016,Jan,2016-01-01,0,7
Westmeath,2016,Feb,2016-02-01,3,10
Westmeath,2016,Mar,2016-03-01,0,10
Westmeath,2016,Apr,2016-04-01,1,11
Westmeath,2016,May,2016-05-01,0,11
Westmeath,2016,Jun,2016-06-01,0,11
Westmeath,2016,Jul,2016-07-01,3,14
Westmeath,2016,Aug,2016-08-01,1,15
Westmeath,2016,Sep,2016-09-01,0,15
Westmeath,2016,Oct,2016-10-01,0,15
Westmeath,2016,Nov,2016-11-01,0,15
Westmeath,2016,Dec,2016-12-01,0,15
Westmeath,2017,Jan,2017-01-01,5,20
Westmeath,2017,Feb,2017-02-01,2,22
Westmeath,2017,Mar,2017-03-01,5,27
Westmeath,2017,Apr,2017-04-01,0,27
Westmeath,2017,May,2017-05-01,0,27
Westmeath,2017,Jun,2017-06-01,1,28
Westmeath,2017,Jul,2017-07-01,3,31
Westmeath,2017,Aug,2017-08-01,2,33
Westmeath,2017,Sep,2017-09-01,0,33
Westmeath,2017,Oct,2017-10-01,1,34
Westmeath,2017,Nov,2017-11-01,0,34
Westmeath,2017,Dec,2017-12-01,0,34
Westmeath,2018,Jan,2018-01-01,1,35
Westmeath,2018,Feb,2018-02-01,1,36
Westmeath,2018,Mar,2018-03-01,1,37
Westmeath,2018,Apr,2018-04-01,4,41
Westmeath,2018,May,2018-05-01,5,46
Westmeath,2018,Jun,2018-06-01,0,46
Westmeath,2018,Jul,2018-07-01,13,59
Westmeath,2018,Aug,2018-08-01,6,65
Westmeath,2018,Sep,2018-09-01,5,70
Westmeath,2018,Oct,2018-10-01,1,71
Westmeath,2018,Nov,2018-11-01,1,72
Westmeath,2018,Dec,2018-12-01,0,72
Westmeath,2019,Jan,2019-01-01,19,91
Westmeath,2019,Feb,2019-02-01,11,102
Westmeath,2019,Mar,2019-03-01,3,105
Westmeath,2019,Apr,2019-04-01,2,107
Westmeath,2019,May,2019-05-01,5,112
Westmeath,2019,Jun,2019-06-01,1,113
Westmeath,2019,Jul,2019-07-01,23,136
Westmeath,2019,Aug,2019-08-01,1,137
Westmeath,2019,Sep,2019-09-01,3,140
Westmeath,2019,Oct,2019-10-01,5,145
Westmeath,2019,Nov,2019-11-01,10,155
Westmeath,2019,Dec,2019-12-01,0,155
Westmeath,2020,Jan,2020-01-01,19,174
Westmeath,2020,Feb,2020-02-01,7,181
Westmeath,2020,Mar,2020-03-01,8,189
Westmeath,2020,Apr,2020-04-01,0,189
Westmeath,2020,May,2020-05-01,4,193
Westmeath,2020,Jun,2020-06-01,0,193
Westmeath,2020,Jul,2020-07-01,26,219
Westmeath,2020,Aug,2020-08-01,4,223
Westmeath,2020,Sep,2020-09-01,4,227
Westmeath,2020,Oct,2020-10-01,5,232
Westmeath,2020,Nov,2020-11-01,0,232
Westmeath,2020,Dec,2020-12-01,3,235
Westmeath,2021,Jan,2021-01-01,43,278
Westmeath,2021,Feb,2021-02-01,21,299
Westmeath,2021,Mar,2021-03-01,20,319
Westmeath,2021,Apr,2021-04-01,12,331
Westmeath,2021,May,2021-05-01,15,346
Westmeath,2021,Jun,2021-06-01,5,351
Westmeath,2021,Jul,2021-07-01,66,417
Westmeath,2021,Aug,2021-08-01,25,442
Westmeath,2021,Sep,2021-09-01,10,452
Westmeath,2021,Oct,2021-10-01,10,462
Westmeath,2021,Nov,2021-11-01,2,464
Westmeath,2021,Dec,2021-12-01,1,465
Westmeath,2022,Jan,2022-01-01,67,532
Westmeath,2022,Feb,2022-02-01,26,558
Westmeath,2022,Mar,2022-03-01,40,598
Westmeath,2022,Apr,2022-04-01,26,624
Westmeath,2022,May,2022-05-01,6,630
Westmeath,2022,Jun,2022-06-01,3,633
Westmeath,2022,Jul,2022-07-01,48,681
Westmeath,2022,Aug,2022-08-01,24,705
Westmeath,2022,Sep,2022-09-01,23,728
Westmeath,2022,Oct,2022-10-01,11,739
Westmeath,2022,Nov,2022-11-01,5,744
Westmeath,2022,Dec,2022-12-01,0,744
Westmeath,2023,Jan,2023-01-01,72,816
Westmeath,2023,Feb,2023-02-01,37,853
Westmeath,2023,Mar,2023-03-01,49,902
Westmeath,2023,Apr,2023-04-01,29,931
Westmeath,2023,May,2023-05-01,21,952
Westmeath,2023,Jun,2023-06-01,15,967
Westmeath,2023,Jul,2023-07-01,69,1036
Westmeath,2023,Aug,2023-08-01,22,1058
Westmeath,2023,Sep,2023-09-01,21,1079
Westmeath,2023,Oct,2023-10-01,6,1085
Westmeath,2023,Nov,2023-11-01,1,1086
Westmeath,2023,Dec,2023-12-01,1,1087
Westmeath,2024,Jan,2024-01-01,80,1167
Westmeath,2024,Feb,2024-02-01,34,1201
Westmeath,2024,Mar,2024-03-01,26,1227
Westmeath,2024,Apr,2024-04-01,13,1240
Westmeath,2024,May,2024-05-01,16,1256
Westmeath,2024,Jun,2024-06-01,6,1262
Westmeath,2024,Jul,2024-07-01,76,1338
Westmeath,2024,Aug,2024-08-01,,
Westmeath,2024,Sep,2024-09-01,,
Westmeath,2024,Oct,2024-10-01,,
Westmeath,2024,Nov,2024-11-01,,
Westmeath,2024,Dec,2024-12-01,,
Offaly,2014,Jan,2014-01-01,0,0
Offaly,2014,Feb,2014-02-01,1,1
Offaly,2014,Mar,2014-03-01,0,1
Offaly,2014,Apr,2014-04-01,0,1
Offaly,2014,May,2014-05-01,0,1
Offaly,2014,Jun,2014-06-01,0,1
Offaly,2014,Jul,2014-07-01,0,1
Offaly,2014,Aug,2014-08-01,0,1
Offaly,2014,Sep,2014-09-01,0,1
Offaly,2014,Oct,2014-10-01,0,1
Offaly,2014,Nov,2014-11-01,0,1
Offaly,2014,Dec,2014-12-01,0,1
Offaly,2015,Jan,2015-01-01,0,1
Offaly,2015,Feb,2015-02-01,1,2
Offaly,2015,Mar,2015-03-01,1,3
Offaly,2015,Apr,2015-04-01,0,3
Offaly,2015,May,2015-05-01,0,3
Offaly,2015,Jun,2015-06-01,0,3
Offaly,2015,Jul,2015-07-01,0,3
Offaly,2015,Aug,2015-08-01,0,3
Offaly,2015,Sep,2015-09-01,0,3
Offaly,2015,Oct,2015-10-01,0,3
Offaly,2015,Nov,2015-11-01,0,3
Offaly,2015,Dec,2015-12-01,0,3
Offaly,2016,Jan,2016-01-01,1,4
Offaly,2016,Feb,2016-02-01,1,5
Offaly,2016,Mar,2016-03-01,0,5
Offaly,2016,Apr,2016-04-01,0,5
Offaly,2016,May,2016-05-01,0,5
Offaly,2016,Jun,2016-06-01,0,5
Offaly,2016,Jul,2016-07-01,1,6
Offaly,2016,Aug,2016-08-01,0,6
Offaly,2016,Sep,2016-09-01,0,6
Offaly,2016,Oct,2016-10-01,0,6
Offaly,2016,Nov,2016-11-01,0,6
Offaly,2016,Dec,2016-12-01,0,6
Offaly,2017,Jan,2017-01-01,1,7
Offaly,2017,Feb,2017-02-01,0,7
Offaly,2017,Mar,2017-03-01,0,7
Offaly,2017,Apr,2017-04-01,0,7
Offaly,2017,May,2017-05-01,0,7
Offaly,2017,Jun,2017-06-01,0,7
Offaly,2017,Jul,2017-07-01,3,10
Offaly,2017,Aug,2017-08-01,2,12
Offaly,2017,Sep,2017-09-01,0,12
Offaly,2017,Oct,2017-10-01,0,12
Offaly,2017,Nov,2017-11-01,0,12
Offaly,2017,Dec,2017-12-01,0,12
Offaly,2018,Jan,2018-01-01,0,12
Offaly,2018,Feb,2018-02-01,0,12
Offaly,2018,Mar,2018-03-01,1,13
Offaly,2018,Apr,2018-04-01,0,13
Offaly,2018,May,2018-05-01,1,14
Offaly,2018,Jun,2018-06-01,0,14
Offaly,2018,Jul,2018-07-01,3,17
Offaly,2018,Aug,2018-08-01,3,20
Offaly,2018,Sep,2018-09-01,0,20
Offaly,2018,Oct,2018-10-01,1,21
Offaly,2018,Nov,2018-11-01,0,21
Offaly,2018,Dec,2018-12-01,0,21
Offaly,2019,Jan,2019-01-01,9,30
Offaly,2019,Feb,2019-02-01,3,33
Offaly,2019,Mar,2019-03-01,6,39
Offaly,2019,Apr,2019-04-01,1,40
Offaly,2019,May,2019-05-01,1,41
Offaly,2019,Jun,2019-06-01,0,41
Offaly,2019,Jul,2019-07-01,12,53
Offaly,2019,Aug,2019-08-01,5,58
Offaly,2019,Sep,2019-09-01,0,58
Offaly,2019,Oct,2019-10-01,2,60
Offaly,2019,Nov,2019-11-01,1,61
Offaly,2019,Dec,2019-12-01,0,61
Offaly,2020,Jan,2020-01-01,14,75
Offaly,2020,Feb,2020-02-01,6,81
Offaly,2020,Mar,2020-03-01,5,86
Offaly,2020,Apr,2020-04-01,1,87
Offaly,2020,May,2020-05-01,1,88
Offaly,2020,Jun,2020-06-01,0,88
Offaly,2020,Jul,2020-07-01,12,100
Offaly,2020,Aug,2020-08-01,4,104
Offaly,2020,Sep,2020-09-01,3,107
Offaly,2020,Oct,2020-10-01,1,108
Offaly,2020,Nov,2020-11-01,0,108
Offaly,2020,Dec,2020-12-01,0,108
Offaly,2021,Jan,2021-01-01,19,127
Offaly,2021,Feb,2021-02-01,6,133
Offaly,2021,Mar,2021-03-01,17,150
Offaly,2021,Apr,2021-04-01,7,157
Offaly,2021,May,2021-05-01,4,161
Offaly,2021,Jun,2021-06-01,2,163
Offaly,2021,Jul,2021-07-01,40,203
Offaly,2021,Aug,2021-08-01,13,216
Offaly,2021,Sep,2021-09-01,6,222
Offaly,2021,Oct,2021-10-01,8,230
Offaly,2021,Nov,2021-11-01,2,232
Offaly,2021,Dec,2021-12-01,1,233
Offaly,2022,Jan,2022-01-01,37,270
Offaly,2022,Feb,2022-02-01,23,293
Offaly,2022,Mar,2022-03-01,27,320
Offaly,2022,Apr,2022-04-01,13,333
Offaly,2022,May,2022-05-01,7,340
Offaly,2022,Jun,2022-06-01,0,340
Offaly,2022,Jul,2022-07-01,37,377
Offaly,2022,Aug,2022-08-01,14,391
Offaly,2022,Sep,2022-09-01,19,410
Offaly,2022,Oct,2022-10-01,7,417
Offaly,2022,Nov,2022-11-01,8,425
Offaly,2022,Dec,2022-12-01,0,425
Offaly,2023,Jan,2023-01-01,44,469
Offaly,2023,Feb,2023-02-01,24,493
Offaly,2023,Mar,2023-03-01,28,521
Offaly,2023,Apr,2023-04-01,11,532
Offaly,2023,May,2023-05-01,14,546
Offaly,2023,Jun,2023-06-01,11,557
Offaly,2023,Jul,2023-07-01,51,608
Offaly,2023,Aug,2023-08-01,18,626
Offaly,2023,Sep,2023-09-01,14,640
Offaly,2023,Oct,2023-10-01,6,646
Offaly,2023,Nov,2023-11-01,1,647
Offaly,2023,Dec,2023-12-01,0,647
Offaly,2024,Jan,2024-01-01,51,698
Offaly,2024,Feb,2024-02-01,17,715
Offaly,2024,Mar,2024-03-01,15,730
Offaly,2024,Apr,2024-04-01,14,744
Offaly,2024,May,2024-05-01,15,759
Offaly,2024,Jun,2024-06-01,5,764
Offaly,2024,Jul,2024-07-01,43,807
Offaly,2024,Aug,2024-08-01,,
Offaly,2024,Sep,2024-09-01,,
Offaly,2024,Oct,2024-10-01,,
Offaly,2024,Nov,2024-11-01,,
Offaly,2024,Dec,2024-12-01,,
Meath,2014,Jan,2014-01-01,4,4
Meath,2014,Feb,2014-02-01,2,6
Meath,2014,Mar,2014-03-01,6,12
Meath,2014,Apr,2014-04-01,1,13
Meath,2014,May,2014-05-01,0,13
Meath,2014,Jun,2014-06-01,1,14
Meath,2014,Jul,2014-07-01,3,17
Meath,2014,Aug,2014-08-01,3,20
Meath,2014,Sep,2014-09-01,0,20
Meath,2014,Oct,2014-10-01,0,20
Meath,2014,Nov,2014-11-01,1,21
Meath,2014,Dec,2014-12-01,0,21
Meath,2015,Jan,2015-01-01,5,26
