Territory,County,Address,Max.Sim.CCS,Max.Sim.CHAd eMo,Max.Sim.Fast AC,Max.Sim. AC Socket,CCS kWs,CHAd eMO kWs,AC Fast kWs,AC Socket kWs,Latitude,Longitude,Open Hours,Route / Exit
RoI,Cork,Cork City,0,0,0,2,,,22(2),51.9021,-8.45634,24 x 7,,
RoI,Cork,"51 South Mall, Cork City",0,0,0,2,,,22(2),51.896298,-8.473326,24 x 7,,
RoI,Cork,"Copley Street (@Cotter St), Cork City",0,0,0,2,,,22(2),51.89519,-8.466071,24 x 7,,
RoI,Cork,"Copley Street (Opp. Keohanes), Cork City",0,0,0,2,,,22(2),51.895178,-8.467683,24 x 7,,
,,"Cork County Hall, Carrigrohane Road, Sunday's",,,,,,,,,,,,
RoI,Cork,"Well, Cork City",0,0,0,2,,,22(2),51.893018,-8.507823,24 x 7,,
,,"Black Ash Park and Ride, Off South City Link",,,,,,,,,,,,
RoI,Cork,"Road, Cork City",0,0,0,2,,,22(2),51.87859,-8.466504,24 x 7,,
,,"Circle K/Centra, Rochestown Road, Rochestown,",,,,,,,,,,,,
RoI,Cork,Cork City,2,2,0,"1150, 5070, 50",,,22,51.877,-8.3954,24 x 7,,
RoI,Cork,"Carrigaline Road, Crosshaven",0,0,0,2,,,22(2),51.803537,-8.30804,24 x 7,,
,,"Tanyard Lane Car Park (Off Main Street, Beside",,,,,,,,,,,,
,,"Supervalu; access also via Sackville Mews),",,,,,,,,,,,,
RoI,Cork,"Dunmanway, A01",0,0,0,2,,,22(2),51.721615,-9.111517,24 x 7,,
,,"Amber Service Station, Dublin Rd, Ballynamona,",,,,,,,,,,,,
RoI,Cork,Fermoy,3,3,0,"1150(2), 5070(2), 50",,,22,52.150444,-8.27808,24 x 7,,
RoI,Cork,"Supervalu, Courthouse Road, Fermoy",1,1,1,0,50,50,43,52.13766,-8.266641,24 x 7,,
,,"Circle K Service Station Frankfield, Frankfield",,,,,,,,,,,,
RoI,Cork,"Road, Frankfield",2,2,0,150(2),70(2),,,51.872405,-8.470652,24 x 7,,
RoI,Cork,"Kenmare Road, Glengariff",0,0,0,2,,,22(2),51.750022,-9.553212,24 x 7,,
RoI,Cork,"Fire Brigade Car Park, New Road, Kinsale",1,1,0,1,50,50,22,51.70866,-8.5204,24 x 7,,
,,"Macroom Council Car Park, Fair Green,",,,,,,,,,,,,
RoI,Cork,Macroom,1,1,1,0,50,50,43,51.90491,-8.954018,24 x 7,,
RoI,Cork,"Irish Rail Mallow Station, Limerick Road, Mallow",0,0,0,2,,,22(2),52.139237,-8.654588,24 x 7,,
,,"Tesco Mallow, Annabella Park, Mallow, Co.",,,,,,,,,,,,
RoI,Cork,"Cork, Mallow",0,0,0,2,,,22(2),52.136471,-8.64638,24 x 7,,
RoI,Cork,"Public Car Park, The Green, Midleton",0,0,0,2,,,22(2),51.916846,-8.174847,24 x 7,,
,,"Tesco Mitchelstown, Brigown Rd, Brigown,",,,,,,,,,,,,
RoI,Cork,"Mitchelstown, Co. Cork, Mitchelstown",0,0,0,2,,,22(2),52.263013,-8.268026,24 x 7,,
,,"Public Car Park, Strand Road (R610),",,,,,,,,,,,,
RoI,Cork,Monkstown,0,0,0,2,,,22(2),51.849032,-8.331938,24 x 7,R610,
,,"Norton House Car Park, Cork Road, Skibbereen,",,,,,,,,,,,,
RoI,Cork,A01,1,1,0,1,50,50,22,51.553716,-9.262225,24 x 7,,
,,"Tesco Youghal, Mill Rd, Greencloyne, Youghal,",,,,,,,,,,,,
RoI,Cork,"Cork, Youghal",0,0,0,2,,,22(2),51.959203,-7.854046,24 x 7,,
RoI,Cork,"Dolphin's Place, Youghal",1,1,0,1,50,50,22,51.956697,-7.850032,24 x 7,,
RoI,Donegal,"Navenny Street, Ballybofey",0,0,0,2,,,22(2),54.797965,-7.783045,24 x 7,,
,,"Market Yard Car Park, Main Street,",,,,,,,,,,,,
RoI,Donegal,Ballyshannon,0,0,0,2,,,22(2),54.501145,-8.188621,24 x 7,,
RoI,Donegal,"Public Car Park, Nailors Row, Buncrana",0,0,0,2,,,22(2),55.137602,-7.456888,24 x 7,,
RoI,Donegal,"Ferris Lane, Buncrana",0,0,0,2,,,22(2),55.135935,-7.452539,24 x 7,,
,,"Public Car Park, Off R123 Relief Road,",,,,,,,,,,,,
RoI,Donegal,Carndonagh,0,0,0,2,,,22(2),55.251378,-7.262612,24 x 7,R123,
RoI,Donegal,"Public Car Park, Quay Street, Donegal Town",0,0,0,2,,,22(2),54.65153,-8.112858,24 x 7,,
,,"Donegal Service Station (Supermac's),",,,,,,,,,,,,
RoI,Donegal,"Ballybofey Road, Drumlonagher, F94N24R",4,4,0,200(4),,70(4),,54.658974,-8.089066,24 x 7,,
RoI,Donegal,"Off Lower Main Street, Dungloe",1,1,0,1,50,50,22,54.950297,-8.362137,24 x 7,,
RoI,Donegal,"Public Car Park, Strand Road, Falcarragh",0,0,0,2,,,22(2),55.13683,-8.10418,24 x 7,,
RoI,Donegal,"Mill Road, Glenties",0,0,0,2,,,22(2),54.798248,-8.284545,24 x 7,,
RoI,Donegal,"Shore Road, Killybegs",1,1,0,1,50,50,22,54.636031,-8.443325,24 x 7,,
,,"Kee's Circle K Service Station, N15/R232",,,,,,,,,,,N15-R232,
RoI,Donegal,"Junction, Laghey",2,2,0,2,50(2),50(2),22(2),54.614937,-8.089765,24 x 7,N15,
,,"Hospital Car Park, Kilmacrennan Road,",,,,,,,,,,,,
RoI,Donegal,Letterkenny,0,0,0,2,,,22(2),54.961006,-7.731468,24 x 7,,
,,"An Grianán Theatre Car Park, Port Road, ,",,,,,,,,,,,,
RoI,Donegal,Letterkenny,0,0,0,2,,,22(2),54.9531,-7.733,24 x 7,,
,,"Tobin's Circle K Service Station, Port Road,",,,,,,,,,,,,
RoI,Donegal,Letterkenny,2,0,0,100(2),,,,54.9521,-7.72542,24 x 7,,
,,"Justice Walsh Car Park, Off Bank Lane,",,,,,,,,,,,,
RoI,Donegal,Letterkenny,1,1,0,1,50,50,22,54.951508,-7.734554,24 x 7,,
,,"Daly's Circle K Service Station, Letterkenny",,,,,,,,,,,,
RoI,Donegal,"Road, Lifford",1,1,0,3,50,50,22(3),54.833245,-7.48663,24 x 7,,
RoI,Donegal,"Main Street, Stranorlar",0,0,0,2,,,22(2),54.804946,-7.768815,24 x 7,,
RoI,Dublin,"Irish Rail, Railway Street, Balbriggan",0,0,0,2,,,7(2),53.611523,-6.182852,24 x 7,,
RoI,Dublin,"Public Car Park, Mill Street, Balbriggan",0,0,0,2,,,22(2),53.610233,-6.182937,24 x 7,,
,,"Irish Rail Booterstown DART Station, Rock Road,",,,,,,,,,,,,
RoI,Dublin,Blackrock,0,0,0,2,,,22(2),53.310296,-6.195844,24 x 7,,
,,"Irish Rail Blackrock DART Station, Bath Place,",,,,,,,,,,,,
RoI,Dublin,Blackrock,0,0,0,2,,,22(2),53.302596,-6.178974,24 x 7,,
RoI,Dublin,"Tesco Cabra, Navan Road, Northside, Cabra",0,0,0,2,,,22(2),53.360629,-6.299333,24 x 7,,
,,"The Park Retail Centre, Glenamuck road,",,,,,,,,,,,,
RoI,Dublin,Carrickmines,0,0,0,2,,,22(2),53.251009,-6.185082,24 x 7,,
,,"Irish Rail Dalkey DART Station, Ardeveehan",,,,,,,,,,,,
RoI,Dublin,"Road, Dalkey",0,0,0,2,,,22(2),53.275704,-6.103034,24 x 7,,
,,"Maxol Filling Station, M1 Junction 4 (R132),",,,,,,,,,,,M1 M1,
RoI,Dublin,"Turvey, Donabate",1,1,1,0,50,50,43,53.492693,-6.197212,24 x 7,Junction 4,
,,"Tesco Rush, Whitestown Rd., Rush, Co. Dublin,",,,,,,,,,,,,
RoI,Dublin,Dublin,0,0,0,2,,,22(2),53.523101,-6.102373,24 x 7,,
,,"Tesco Kinnegad, Kinnegad, Co. Westmeath,",,,,,,,,,,,,
